parte,tema,titulo,LEY,articulo,tipo,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,1,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,2,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,3,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,4,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,5,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,6,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,7,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,8,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,9,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,10,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,11,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,12,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,13,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,14,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,15,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,16,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,17,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,18,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,19,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,20,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,21,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,22,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,23,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,24,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,25,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,26,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,27,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,28,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,29,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,30,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,31,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,32,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,33,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,34,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,35,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,36,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,37,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,38,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,39,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,40,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,41,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,42,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,43,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,44,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,45,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,46,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,47,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,48,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,49,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,50,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,51,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,52,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,53,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,54,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,55,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,56,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,57,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,58,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,59,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,60,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,61,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,62,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,63,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,64,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,65,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,66,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,67,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,68,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,69,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,70,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,71,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,72,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,73,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,74,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,75,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,76,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,77,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,78,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,79,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,80,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,81,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,82,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,83,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,84,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,85,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,86,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,87,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,88,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,89,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,90,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,91,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,92,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,93,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,94,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,95,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,96,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,166,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,167,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,168,JURIDICO,
GENERAL,1,La Constitucion espanola de 1978.,Constitucion Espanola,169,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,97,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,98,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,99,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,100,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,101,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,102,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,104,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,105,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,106,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,107,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,108,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,109,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,110,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,111,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,112,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,113,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,114,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,115,JURIDICO,
GENERAL,2,Del Gobierno y de la Administracion.,Constitucion Espanola,116,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,128,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,129,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,130,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,131,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,132,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,133,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,134,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,135,JURIDICO,
GENERAL,3,La Administracion Publica:,Constitucion Espanola,136,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,117,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,118,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,119,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,120,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,121,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,122,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,123,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,124,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,125,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,126,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,127,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,159,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,160,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,161,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,162,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,163,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,164,JURIDICO,
GENERAL,4,El Poder Judicial:,Constitucion Espanola,165,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",1,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",2,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",3,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",4,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",5,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",6,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",7,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",8,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",9,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",10,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",11,JURIDICO,
GENERAL,4,El Poder Judicial:,"Ley Organica 3/1981, de 6 de abril [VALIDAR RANGO]",12,JURIDICO,
