parte,tema,titulo,LEY,articulo,tipo
GENERAL,1,Constitucion Española 1978,Constitucion Española,1,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,2,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,3,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,4,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,5,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,6,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,7,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,8,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,9,JURIDICO
GENERAL,1,Constitucion Española 1978,Constitucion Española,10,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,56,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,57,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,58,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,59,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,60,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,61,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,62,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,63,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,64,JURIDICO
GENERAL,2,Constitucion Española 1978,Constitucion Española,65,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,97,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,98,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,99,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,100,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,101,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,102,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,103,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,104,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,105,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,106,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,107,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,108,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,109,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,110,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,111,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,112,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,113,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,114,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,115,JURIDICO
GENERAL,3,Constitucion Española 1978,Constitucion Española,116,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,117,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,118,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,119,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,120,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,121,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,122,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,123,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,124,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,125,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,126,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,127,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,159,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,160,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,161,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,162,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,163,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,164,JURIDICO
GENERAL,4,Constitucion Española 1978,Constitucion Española,165,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,137,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,138,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,139,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,140,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,141,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,142,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,143,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,144,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,145,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,146,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,147,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,148,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,149,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,150,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,151,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,152,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,153,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,154,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,155,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,156,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,157,JURIDICO
GENERAL,5,Constitucion Española 1978,Constitucion Española,158,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",1,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",2,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",3,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",4,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",5,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",6,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",7,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",8,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",9,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",10,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",11,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",12,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",13,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",14,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",15,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",16,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",17,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",18,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",19,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",20,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",21,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",22,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",23,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",24,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",25,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",26,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",27,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",28,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",29,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",30,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",31,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",32,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",33,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",34,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",35,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",36,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",37,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",49,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",50,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",51,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",52,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",53,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",54,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",55,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",56,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",57,JURIDICO
GENERAL,6,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",58,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",1,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",2,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",3,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",4,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",5,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",6,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",7,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",8,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",9,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",10,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",11,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",12,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",13,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",14,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",15,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",16,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",17,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",18,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",19,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",20,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",21,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",22,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",23,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",24,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",25,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",26,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",31,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",32,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",33,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",34,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",35,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",36,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",37,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",38,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",39,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",40,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",41,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",42,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",43,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",44,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",45,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",46,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",47,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",48,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",49,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",50,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",51,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",52,JURIDICO
GENERAL,7,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",59,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",27,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",28,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",29,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",30,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",60,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",61,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",62,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",63,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",64,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",65,JURIDICO
GENERAL,8,"La Ley 5/1983, de 30 de diciembre, del Consell:","Ley 5/1983, de 30 de diciembre",66,JURIDICO
