parte,tema,titulo,LEY,articulo,tipo,tema_no_juridico
GENERAL,1,Constitucion Española 1978,Constitucion Española,1,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,2,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,3,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,4,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,5,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,6,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,7,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,8,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,9,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,10,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,11,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,12,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,13,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,14,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,15,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,16,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,17,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,18,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,19,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,20,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,21,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,22,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,23,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,24,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,25,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,26,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,27,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,28,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,29,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,30,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,31,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,32,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,33,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,34,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,35,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,36,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,37,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,38,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,39,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,40,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,41,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,42,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,43,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,44,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,45,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,46,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,47,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,48,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,49,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,50,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,51,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,52,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,53,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,54,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,55,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,137,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,138,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,139,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,140,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,141,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,142,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,143,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,144,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,145,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,146,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,147,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,148,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,149,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,150,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,151,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,152,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,153,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,154,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,155,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,156,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,157,JURIDICO,
GENERAL,1,Constitucion Española 1978,Constitucion Española,158,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,56,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,57,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,58,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,59,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,60,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,61,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,62,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,63,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,64,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,65,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,66,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,67,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,68,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,69,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,70,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,71,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,72,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,73,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,74,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,75,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,76,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,77,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,78,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,79,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,80,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,81,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,82,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,83,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,84,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,85,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,86,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,87,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,88,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,89,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,90,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,91,JURIDICO,
GENERAL,2,Constitucion Española 1978,Constitucion Española,92,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,97,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,98,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,99,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,100,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,101,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,102,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,103,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,104,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,105,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,106,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,107,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,108,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,109,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,110,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,111,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,112,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,113,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,114,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,115,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,116,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,117,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,118,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,119,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,120,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,121,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,122,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,123,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,124,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,125,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,126,JURIDICO,
GENERAL,3,Constitucion Española 1978,Constitucion Española,127,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",1,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",2,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",3,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",4,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",5,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",6,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",7,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",8,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",9,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",10,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",11,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",12,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",13,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",14,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",15,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",16,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",17,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",18,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",19,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",20,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",21,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",22,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",23,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",24,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",25,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",26,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",27,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",28,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",29,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",30,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",31,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",32,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",33,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",34,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",35,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",36,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",37,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",38,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",39,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",40,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",41,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",42,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",43,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",44,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",45,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",46,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",47,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",48,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",49,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",50,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",51,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",52,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",53,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",54,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",55,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",56,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",57,JURIDICO,
GENERAL,4,Estatuto de autonomia de la Comunitat Valenciana,"Ley Organica 5/1982, de 1 de julio",58,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",1,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",2,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",3,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",4,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",5,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",6,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",7,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",8,JURIDICO,
GENERAL,5,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",9,JURIDICO,
